,game_id,game_title,category,avg_time,min_ppl,max_ppl,age_min
484,554,La Città,"['City Building', 'Civilization', 'Renaissance', 'Territory Building']",120,2,5,12
485,555,The Princes of Florence,"['City Building', 'Renaissance']",87.5,2,5,12
488,558,Der weiße Lotus,"['Medieval', 'Negotiation']",80,3,6,12
489,559,Metro,['Trains'],30,2,6,8
491,562,Silberzwerg,['Economic'],60,2,4,10
495,566,Wongar,['Prehistoric'],90,3,5,12
497,568,Rage,['Card Game'],45,2,10,8
505,576,Illuminati: Y2K,"['Card Game', 'Expansion for Base-game', 'Negotiation', 'Political']",120.0,2,6,13
506,577,Parts Unknown,"['Economic', 'Horror']",90,4,10,10
509,581,Tile Chess,['Abstract Strategy'],90,2,6,12
511,583,The El Grande Expansions,"['Expansion for Base-game', 'Political', 'Renaissance']",90,2,5,12
513,586,Up Front,"['Card Game', 'Wargame', 'World War II']",60,2,3,12
515,589,Wiz-War,"['Fantasy', 'Fighting']",60,2,4,10
516,590,Mille Bornes,"['Card Game', 'Racing']",45,2,6,8
517,592,Spades,['Card Game'],60,4,4,10
519,594,Sleuth,"['Card Game', 'Deduction']",37.5,3,7,10
522,597,El Grande: Grandissimo,"['Expansion for Base-game', 'Political', 'Renaissance', 'Territory Building']",90,2,5,12
531,607,Honor of the Samurai,"['Card Game', 'Medieval']",90,3,6,10
532,608,Siesta,['Abstract Strategy'],60,2,4,8
538,614,Rubik's Race,"['Puzzle', 'Racing', 'Real-time']",5,2,2,7
543,619,The Bottle Imp,['Card Game'],30,2,4,10
544,621,25 Words or Less,"['Party Game', 'Word Game']",27.5,4,99,10
546,623,Swashbuckler,"['Fighting', 'Renaissance']",90,2,6,12
547,624,Quoridor,"['Abstract Strategy', 'Maze']",15,2,4,8
549,626,War and Peace,"['Napoleonic', 'Wargame']",150.0,2,6,12
553,631,Daytona 500,"['Card Game', 'Racing', 'Sports']",70,2,4,10
554,632,Cloud 9,"['Aviation / Flight', 'Bluffing', 'Card Game']",25.0,3,6,8
555,633,Elixir,"['Action / Dexterity', 'Card Game', 'Fantasy', 'Humor']",60,3,8,10
556,634,River Dragons,"['Abstract Strategy', 'Racing']",30,2,6,8
557,635,Formula Motor Racing,"['Card Game', 'Dice', 'Racing']",20,3,6,8
560,638,Hera and Zeus,"['Bluffing', 'Card Game', 'Mythology']",30,2,2,12
561,639,American Megafauna,"['Animals', 'Environmental', 'Prehistoric']",225.0,1,4,9
564,644,Shipwrecked,['Card Game'],30,2,4,12
565,645,Bosworth,['Abstract Strategy'],60,2,4,8
571,651,Zero Down,['Card Game'],20,2,5,8
574,655,Castle,"['Card Game', 'Medieval']",30,2,5,14
